month,extended,source,raw,cleaned,smoothed
2022-05-01,33.12153484629813,synthetic,,,
2022-06-01,33.27333333333333,synthetic,,,
2022-07-01,45.69933390198138,synthetic,,,
2022-08-01,47.67444444444444,synthetic,,,
2022-09-01,34.92666666666667,synthetic,,,
2022-10-01,28.416666666666668,synthetic,,,
2022-11-01,25.5924232170857,synthetic,,,
2022-12-01,28.591217383300393,synthetic,,,
2023-01-01,30.459005175689537,synthetic,,,
2023-02-01,36.493795693602785,synthetic,,,
2023-03-01,45.11833333333334,synthetic,,,
2023-04-01,44.43634367723554,synthetic,,,
2023-05-01,32.504132737691684,synthetic,,,
2023-06-01,38.282222222222224,synthetic,,,
2023-07-01,44.723498887055946,synthetic,,,
2023-08-01,41.49265531007841,synthetic,,,
2023-09-01,38.66344680017676,synthetic,,,
2023-10-01,28.416666666666668,synthetic,,,
2023-11-01,27.10666666666667,synthetic,,,
2023-12-01,29.216173862218927,synthetic,,,
2024-01-01,30.048935832949564,synthetic,,,
2024-02-01,37.03308742753432,synthetic,,,
2024-03-01,45.11833333333334,synthetic,,,
2024-04-01,41.3161746666764,synthetic,1.0,,
2024-05-01,30.0,real,30.0,30.0,30.0
2024-06-01,38.0,real,30.0,30.0,38.0
2024-07-01,46.0,real,54.0,54.0,46.0
2024-08-01,45.666666666666664,real,54.0,54.0,45.666666666666664
2024-09-01,36.333333333333336,real,29.0,29.0,36.333333333333336
2024-10-01,30.333333333333332,real,26.0,26.0,30.333333333333332
2024-11-01,31.0,real,36.0,36.0,31.0
2024-12-01,33.666666666666664,real,31.0,31.0,33.666666666666664
2025-01-01,31.0,real,34.0,34.0,31.0
2025-02-01,34.666666666666664,real,28.0,28.0,34.666666666666664
2025-03-01,35.0,real,42.0,42.0,35.0
2025-04-01,36.0,real,35.0,35.0,36.0
2025-05-01,30.333333333333332,real,31.0,31.0,30.333333333333332
2025-06-01,31.333333333333332,real,25.0,25.0,31.333333333333332
2025-07-01,42.333333333333336,real,38.0,38.0,42.333333333333336
2025-08-01,44.0,real,64.0,64.0,44.0
2025-09-01,36.0,real,30.0,30.0,36.0
2025-10-01,23.333333333333332,real,14.0,14.0,23.333333333333332
2025-11-01,19.666666666666668,real,26.0,26.0,19.666666666666668
2025-12-01,25.0,real,19.0,19.0,25.0
2026-01-01,30.0,real,66.0,30.0,30.0
2026-02-01,43.666666666666664,real,41.0,41.0,43.666666666666664
2026-03-01,49.333333333333336,real,60.0,60.0,49.333333333333336
2026-04-01,47.666666666666664,real,47.0,47.0,47.666666666666664
2026-05-01,36.666666666666664,real,36.0,36.0,36.666666666666664
2026-06-01,38.0,real,27.0,27.0,38.0
2026-07-01,41.0,real,51.0,51.0,41.0
2026-08-01,44.0,real,45.0,45.0,44.0
2026-09-01,40.333333333333336,real,36.0,36.0,40.333333333333336
2026-10-01,38.0,real,40.0,40.0,38.0
