month,revenue,sessions
2020-01-01,8910.717650142842,648.8946899883447
2020-02-01,7780.257498690347,557.0153570537022
2020-03-01,8391.349335453682,674.5274369442465
2020-04-01,7941.682032337221,554.0413515129288
2020-05-01,8460.829544339214,575.1554590514666
2020-06-01,8770.698591373248,615.7645211164687
2020-07-01,9612.492232345085,646.2700078270395
2020-08-01,8765.087825175993,653.7775823600756
2020-09-01,8037.606341122398,595.5673638075291
2020-10-01,8133.816042503026,580.8489724101896
2020-11-01,8034.0579605905505,587.46351712448
2020-12-01,8536.406803277769,654.4995765559474
2021-01-01,8687.122544817848,630.8342605388061
2021-02-01,7036.327376124218,556.8862972081333
2021-03-01,8814.302233643346,612.6024358770825
2021-04-01,7961.904879527756,591.2191636293388
2021-05-01,8204.88777498903,606.9603509823215
2021-06-01,8403.906337299588,617.0115061943799
2021-07-01,8376.385156768425,684.845305555333
2021-08-01,9026.231799936282,600.3724837267633
2021-09-01,8176.663425698488,585.9489469547912
2021-10-01,8214.68936549053,604.1050835396161
2021-11-01,8240.887039049077,573.1359940344732
2021-12-01,8795.262266099106,638.9615754829549
2022-01-01,9173.350916497699,623.3829285174371
2022-02-01,7556.440601362445,562.2216784987979
2022-03-01,9054.65717458523,665.3147601134793
2022-04-01,8654.449050010095,599.345780526109
2022-05-01,8345.938272494313,640.5942698375534
2022-06-01,8632.095062387116,668.6043256349977
2022-07-01,8575.776016324466,670.8247315268198
2022-08-01,9404.188927424388,611.4130453052742
2022-09-01,8321.352900183265,644.6100755498163
2022-10-01,9439.061459112241,630.9352801122652
2022-11-01,8507.737994231855,627.9067394837215
2022-12-01,9443.447887701777,652.512036282596
2023-01-01,8385.319453271215,717.7916744004256
2023-02-01,8157.388720000818,607.6070078934089
2023-03-01,8408.947437804754,712.7953102629639
2023-04-01,9012.885217768904,711.5436014030031
2023-05-01,9602.922746003194,670.8462989955403
2023-06-01,9034.043676807836,696.7464623472011
2023-07-01,9894.669451763457,652.9576388918448
2023-08-01,9229.20734874497,670.0988396447099
2023-09-01,8902.716178785815,666.97707161419
2023-10-01,9388.807573260034,620.7912523906921
2023-11-01,9017.115151881493,613.6593522182408
2023-12-01,9875.877618150187,688.0172470411406
2024-01-01,9653.543458790326,704.8336756741944
2024-02-01,8712.90315883358,633.4956532208682
2024-03-01,8798.079227665565,720.989726147952
2024-04-01,9575.481248052183,625.6869978151922
2024-05-01,10334.85,753.0
2024-06-01,10310.92,751.0
2024-07-01,10906.63,789.0
2024-08-01,10712.1,781.0
2024-09-01,9903.41,727.0
2024-10-01,10088.01,742.0
2024-11-01,9409.71,686.0
2024-12-01,10479.72,762.0
2025-01-01,10174.96,746.0
2025-02-01,8940.63,655.0
2025-03-01,10470.41,761.0
2025-04-01,9947.28,719.0
2025-05-01,10347.09,748.0
2025-06-01,10325.35,753.0
2025-07-01,10828.1,790.0
2025-08-01,10740.92,776.0
2025-09-01,9869.35,721.0
2025-10-01,10110.94,735.0
2025-11-01,9398.43,682.0
2025-12-01,10516.75,766.0
2026-01-01,10236.88,752.0
2026-02-01,8937.16,651.0
2026-03-01,10388.12,761.0
2026-04-01,9876.49,718.0
2026-05-01,10295.62,751.0
2026-06-01,10353.74,755.0
2026-07-01,10871.05,788.0
2026-08-01,10743.62,778.0
2026-09-01,9834.14,719.0
2026-10-01,10087.32,736.0
