month,revenue,sessions
2020-01-01,7086.35773700953,1105.4002768715673
2020-02-01,6409.654651503063,1126.242208230857
2020-03-01,7175.180151615438,1190.1895031599154
2020-04-01,7960.747998973045,1320.095932244676
2020-05-01,10998.252392799654,1470.1722251544215
2020-06-01,11470.00776156096,1778.874416502242
2020-07-01,10964.379013146208,1701.5457370522831
2020-08-01,11325.516081995334,1675.1952678081793
2020-09-01,10334.855747395472,1529.1467141370017
2020-10-01,8949.652721404678,1376.2461425989416
2020-11-01,8613.932406556976,1357.6552707352562
2020-12-01,7371.863294421227,1201.7023547970539
2021-01-01,7114.59230292049,1131.2269683972243
2021-02-01,6513.259199822227,1119.0926414432963
2021-03-01,7721.06954717812,1168.3445754061738
2021-04-01,9297.128012338404,1456.3010677365621
2021-05-01,10680.653889655485,1664.530296837945
2021-06-01,10839.932278447926,1604.1611916096097
2021-07-01,11557.570190103868,1834.8125335862999
2021-08-01,10734.047104248399,1624.7424993295779
2021-09-01,10943.377006363147,1600.3963618433836
2021-10-01,9573.672608024155,1398.9351897116646
2021-11-01,8602.179196590356,1316.4565044769552
2021-12-01,7874.2669711610315,1240.2682445031185
2022-01-01,7076.848658283305,1178.2136631990809
2022-02-01,7261.797397049178,1113.4312256749984
2022-03-01,8578.90854345536,1210.9671477698919
2022-04-01,8838.942844012208,1416.9315107575387
2022-05-01,9787.025183621872,1487.11375641982
2022-06-01,10652.624044004851,1692.2255251398858
2022-07-01,12331.954092740882,1789.2314241169533
2022-08-01,11651.534709393076,1799.8350906983096
2022-09-01,11404.392340258473,1679.3868396142946
2022-10-01,10125.997037029205,1679.1562004564373
2022-11-01,8811.50486666203,1385.2797635290756
2022-12-01,8063.496506535963,1238.4434072862966
2023-01-01,7615.050758099701,1349.0595167880317
2023-02-01,7513.375413296858,1120.0997502262255
2023-03-01,7562.797274808154,1346.0378868126286
2023-04-01,9711.24341478106,1441.1754500381219
2023-05-01,11173.373269521833,1682.2306900094416
2023-06-01,12938.850052841623,1583.5195630970522
2023-07-01,11727.910649321097,1877.3945179871173
2023-08-01,11285.53993193713,1749.462181780302
2023-09-01,10836.05216227161,1585.6085641520233
2023-10-01,10558.27645386,1660.248573505459
2023-11-01,8879.34146397219,1450.0867233657339
2023-12-01,8734.887187995573,1301.0870444500129
2024-01-01,7172.897504307315,1216.455000927011
2024-02-01,7838.381564427284,1208.0468030909035
2024-03-01,8686.730578710047,1304.2435618519385
2024-04-01,9497.140364642868,1606.3556076251123
2024-05-01,11462.400111211278,1760.6344742597128
2024-06-01,12974.242235630581,1738.9376393243635
2024-07-01,12620.131599942893,1789.660571094648
2024-08-01,12906.40649021154,1758.1546426094349
2024-09-01,12853.508643042427,1591.5184533544148
2024-10-01,10518.655664143338,1522.4690180794319
2024-11-01,9128.409750094774,1423.9213806788425
2024-12-01,8116.142356795371,1375.5485393069744
2025-01-01,8418.783560074786,1379.6537790306547
2025-02-01,7570.189341846419,1189.930126477903
2025-03-01,8434.518429226327,1384.0384772191767
2025-04-01,10477.72046775061,1552.5099058497449
2025-05-01,12101.890244792121,1914.0933852486119
2025-06-01,11930.828834510401,1838.1675429256863
2025-07-01,11956.699355887049,1932.1844701908733
2025-08-01,11124.505669525755,1763.4379601927576
2025-09-01,12548.217942704276,1677.2159085156104
2025-10-01,10731.594942542435,1623.1499476685008
2025-11-01,10260.110361930565,1437.107271477696
2025-12-01,8694.451288010812,1385.9344718447983
